Unnamed: 0,cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,state_code,cc_acct_nbr,cc_acct_active,cc_starting_balance,cc_ending_balance,cc_av_wd,cc_av_pm,cc_n_wd,cc_n_pm,cc_end_start_ratio,cq_av_wd,cq_av_dp,cq_n_wd,cq_n_dp,cq_end_start_ratio,cq_acct_nbr,cq_acct_active,cq_starting_balance,cq_ending_balance,sv_av_wd,sv_av_dp,sv_n_wd,sv_n_dp,sv_end_start_ratio,sv_acct_nbr,sv_acct_active,sv_starting_balance,sv_ending_balance,has_cq,has_cc,has_sv,av_spending,av_deposit,n_spending,n_deposit,total_balance_sept
0,1362487,6605,71,1,0,M ,2,CA  ,4561143213624870.0,1.0,0.0,1548.23,-121.32307692307693,404.7025,26.0,4.0,,-72.2425,66.64785714285715,32.0,14.0,0.5038384506682679,13624872.0,1.0,2781.07,1401.21,-109.0257142857143,15.5425,7.0,8.0,0.0197781289797922,13624873.0,0.0,651.73,12.89,1,1,1,0.636316334285315,0.19301464949365846,0.38922155688622756,0.4193548387096774,0.4541424884436289
1,1363160,18548,38,8,0,F ,1,CA  ,4561143213631600.0,1.0,657.46,286.69,-116.605,536.9575,52.0,12.0,0.436056946430201,0.0,0.0,0.0,0.0,,,,,0.0,-66.31800000000001,58.0808695652174,20.0,23.0,1.0840410474168436,13631603.0,1.0,113.04,122.54,0,1,1,0.7801453342633593,0.23588582303480052,0.4311377245508982,0.564516129032258,0.4515972040873773
2,1362752,47668,54,3,0,F ,1,CA  ,4561143213627520.0,0.0,2302.14,0.0,-188.8,1073.6625,10.0,4.0,0.0,-93.81074626865671,725.17375,67.0,8.0,0.0077098156615883,13627522.0,1.0,487.69,3.76,0.0,0.7558333333333334,0.0,12.0,1.0151101189484557,13627523.0,1.0,600.26,609.33,1,1,1,0.6603308979489834,0.713396448726772,0.46107784431137727,0.3870967741935484,0.5174964983263186
3,1362548,44554,59,9,2,F ,4,NY  ,4561143213625480.0,1.0,6965.25,68.68,-312.0284615384616,1379.2025,13.0,8.0,0.0098603783065934,-176.60412698412696,237.14041666666665,63.0,24.0,0.094873041833074,13625482.0,1.0,6004.34,569.65,0.0,0.315,0.0,12.0,1.0151054987212276,13625483.0,1.0,250.24,254.02,1,1,1,0.4127137953255565,0.6408774673090156,0.45508982035928147,0.7096774193548387,0.529527672548574
4,1363017,0,16,1,0,M ,1,CA  ,4561143213630170.0,1.0,0.0,1000.0,-111.2882,460.831,50.0,10.0,,-101.65354838709676,208.5977777777778,62.0,18.0,0.0546029366472349,13630172.0,1.0,2694.91,147.15,-79.14333333333333,97.51357142857144,6.0,14.0,1.4427255820429434,13630173.0,0.0,2011.02,2901.35,1,1,1,0.6489437194431287,0.3040322045029986,0.7065868263473054,0.6774193548387096,0.6391995835297548
5,1362609,1929,79,8,0,F ,2,HI  ,4561143213626090.0,1.0,1775.07,3000.0,-106.6353125,211.5025,32.0,12.0,1.690074194257128,-97.6974074074074,143.59052631578948,54.0,19.0,0.0060001482481361,13626092.0,0.0,2563.27,15.38,-179.89454545454544,74.7270588235294,11.0,17.0,0.0651230864571933,13626093.0,1.0,758.41,49.39,1,1,1,0.5381982747218463,0.1703897928700947,0.5808383233532934,0.7741935483870968,0.21664761801403376
6,1363486,39942,41,1,5,F ,4,HI  ,4561143213634860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0,1,0,1.0,0.0,0.0,0.0,0.4655148732105853
7,1363078,9622,46,6,1,M ,2,HI  ,4561143213630780.0,1.0,2385.21,1147.07,-120.50027777777778,471.00666666666666,36.0,12.0,0.4809094377434271,-53.23819672131148,222.42857142857144,61.0,14.0,0.5569086806477304,13630782.0,1.0,301.36,167.83,-89.435,85.233125,10.0,16.0,4.66614505907206,13630783.0,1.0,127.81,596.38,1,1,1,0.6836925030381766,0.3086806449709959,0.6407185628742516,0.6774193548387096,0.43305359510817026
8,1363282,25829,29,8,0,F ,1,DC  ,4561143213632820.0,1.0,46.42,272.69,-162.91916666666663,310.0,24.0,12.0,5.874407582938388,-62.66370967741936,273.9592857142857,62.0,14.0,0.6286781179985064,13632822.0,1.0,133.9,84.18,0.0,0.0,0.0,0.0,,,,,0.0,1,1,0,0.7288725426844137,0.23149383934716344,0.5149700598802396,0.4193548387096774,0.44953181011941296
9,1363343,0,15,0,0,M ,1,TX  ,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,-108.94933333333331,116.85230769230768,15.0,26.0,3.324914709681693,13633433.0,1.0,603.82,2007.65,0,0,1,0.8690540868986959,0.046322731748636756,0.08982035928143713,0.4193548387096774,0.6357360636778935
10,1362670,8877,26,5,0,F ,1,CA  ,,,,0.0,0.0,0.0,0.0,0.0,,-116.37827586206896,218.9531578947368,58.0,19.0,0.0396442618879032,13626702.0,0.0,2697.49,106.94,0.0,0.0,0.0,0.0,,,,,0.0,1,0,0,0.860125260690773,0.08679767305393556,0.3473053892215569,0.3064516129032258,0.47458191881543377
11,1363465,10516,41,1,1,M ,4,CA  ,,,,0.0,0.0,0.0,0.0,0.0,,-95.92027027027028,135.60315789473685,37.0,19.0,0.6265497255594364,13634652.0,1.0,2605.3,1632.35,0.0,1.4533333333333331,0.0,12.0,1.0304108251377553,13634653.0,1.0,573.48,590.92,1,0,1,0.8847136830380078,0.05433209838084542,0.22155688622754494,0.5,0.6540176830281591
12,1363404,0,17,2,0,M ,1,OH  ,,,,0.0,0.0,0.0,0.0,0.0,,-36.8016393442623,165.24588235294118,61.0,17.0,3.175747059957586,13634042.0,1.0,259.35,823.63,-79.29400000000001,61.469,10.0,20.0,4.8187067984950565,13634043.0,1.0,114.29,550.73,1,0,1,0.8604649607675667,0.08987458515849558,0.4251497005988024,0.5967741935483871,0.5820417555509582
13,1362588,6354,66,6,0,M ,2,WA  ,4561143213625880.0,1.0,453.45,1000.0,-134.98675675675676,373.4483333333333,37.0,12.0,2.2053148086889403,-44.26952380952381,150.8341176470588,63.0,17.0,0.0254476091385962,13625882.0,1.0,230.67,5.87,-91.36333333333334,50.22529411764705,12.0,17.0,0.0384950840469394,13625883.0,1.0,252.24,9.71,1,1,1,0.6747430079559247,0.2277470482976397,0.6706586826347306,0.7419354838709677,0.382049555889425
14,1363200,21015,18,3,0,M ,1,CA  ,4561143213632000.0,1.0,0.0,254.56,-109.23076923076924,289.0177777777778,26.0,9.0,,-91.64620689655172,165.16809523809525,58.0,21.0,0.340841119494072,13632002.0,1.0,2801.98,955.03,-173.06428571428572,111.555,7.0,22.0,11.860438696146115,13632003.0,1.0,114.43,1357.19,1,1,1,0.5505609949141218,0.22427167436830198,0.5449101796407186,0.8387096774193548,0.6399762259249335
15,1362853,26505,50,0,1,F ,2,NJ  ,4561143213628530.0,1.0,0.0,1073.95,-138.46842105263158,526.59,19.0,3.0,,-154.47882352941176,234.81653846153847,51.0,26.0,0.5140560598088222,13628532.0,1.0,3648.96,1875.77,-109.572,40.9425,5.0,16.0,1.116030218583994,13628533.0,1.0,918.64,1025.23,1,1,1,0.5162131936926997,0.3180681666578431,0.44910179640718567,0.7258064516129032,0.6204236601222957
16,1363261,19494,46,6,0,F ,1,NY  ,4561143213632610.0,1.0,143.33,1000.0,-129.74666666666667,352.4083333333333,39.0,12.0,6.976906439684643,-112.3991935483871,209.02428571428567,62.0,21.0,0.3838310721870647,13632612.0,1.0,4185.93,1606.69,-128.66400000000002,90.77470588235292,15.0,17.0,0.4284004256073772,13632613.0,0.0,676.68,289.89,1,1,1,0.5543246181757836,0.2585488087815993,0.6946107784431138,0.8064516129032258,0.5415325630216475
17,1363179,19334,42,2,2,F ,4,IL  ,,,,0.0,0.0,0.0,0.0,0.0,,-92.08792452830188,128.255,53.0,18.0,0.01406793239726,13631792.0,1.0,2608.77,36.7,0.0,0.0,0.0,0.0,,,,,0.0,1,0,0,0.8893197691621567,0.05084300068823123,0.31736526946107785,0.29032258064516125,0.4686265299685612
18,1363057,6493,74,4,0,F ,2,NY  ,4561143213630570.0,1.0,1010.39,938.43,-108.6505,374.6983333333333,40.0,12.0,0.9287799760488524,0.0,0.0,0.0,0.0,,,,,0.0,-158.48600000000002,34.71,10.0,19.0,0.5991495289099609,13630573.0,1.0,2311.66,1385.03,0,1,1,0.6789293532603546,0.16229814177563656,0.29940119760479045,0.5,0.5033804292899318
19,1363444,3171,22,1,1,F ,2,CA  ,4561143213634440.0,1.0,0.0,1000.0,-116.40152173913044,487.3911111111112,46.0,9.0,,-38.91707692307693,187.1146153846153,65.0,13.0,0.4126043304705455,13634442.0,1.0,165.34,68.22,0.0,0.0,0.0,0.0,,,,,0.0,1,1,0,0.8133229905940584,0.26738836783313036,0.6646706586826348,0.3548387096774194,0.38651270607307214
